URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
www.myboat-oi.com/acheter/monocoque/deriveur-45-alu1511.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/jaguar-380906.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/zar-750207.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-4203105.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/beneteau-flyer-7-8-9-neuf1107.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/fontaine-pajot-cumberland-462109.html,No,No,No recent data
www.myboat-oi.com/en/boat-maintenance-and-after-sales-service.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-380s21504.html,No,No,No recent data
www.myboat-oi.com/types-bateaux.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/princess3009.html,No,No,No recent data
www.myboat-oi.com/en/buy/buy-sailboat.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/wharram-nakai-mk-iv0210.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/leopard-47-de-2004-a-rentrer2101.html,No,No,No recent data
www.myboat-oi.com/en/legalmentions.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/atch-14602704.html,No,No,No recent data
www.myboat-oi.com/acheter/monocoque/first-41s3004.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/vandame-501401.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/sangaree-421602.html,No,No,No recent data
www.myboat-oi.com/acheter/bateau%20moteur/garin-8m2601.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-3800909.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/helia-440405.html,No,No,No recent data
www.myboat-oi.com/acheter/multicoques/lagoon-390405.html,No,No,No recent data
